method,workflow,dataset,budget_iter,budget,total_candidates,total_emissions,time,auc,recall,memory
pesm,top2,CDDB,4,12000.0,12000.0,12000.0,26.7723355293274,0.5809721412103834,0.74,90.33589999999992
pesm,top2,CDDB,3,9000.0,9000.0,9000.0,21.333070755004883,0.5330378106136046,0.71,101.87109999999996
pesm,top2,CDDB,5,15000.0,15000.0,15000.0,25.157431602478027,0.6138737417504617,0.75,97.5195
pesm,top2,CDDB,10,30000.0,18473.0,18473.0,28.80760788917541,0.6395570351123386,0.75,90.707
pesm,top2,CDDB,7,21000.0,18481.0,18481.0,29.149054288864136,0.6395498322691635,0.75,89.64850000000001
pesm,top2,CDDB,6,18000.0,18000.0,18000.0,27.169989109039307,0.6365772271910083,0.75,103.47270000000005
pesm,top2,CDDB,1,3000.0,3000.0,3000.0,21.73549246788025,0.4479728979229355,0.4733333333333333,98.44529999999996
pesm,top2,CDDB,9,27000.0,18491.0,18491.0,27.17124557495117,0.6396676040088694,0.75,102.18359999999996
pesm,top2,CORA,5,314455.0,500.0,500.0,39.32152581214905,0.0026100666327265,0.0047860584185336,28.06639999999993
pesm,top2,CORA,7,440237.0,504.0,504.0,42.59747505187988,0.002616943254485,0.0047860584185336,27.898500000000013
pesm,top2,CORA,9,566019.0,501.0,501.0,42.86528706550598,0.0026113605396195,0.0047860584185336,28.11329999999998
pesm,top2,CORA,2,125782.0,497.0,497.0,36.67521905899048,0.0025922966483925,0.0047542573659188,27.93360000000007
pesm,top2,CORA,3,188673.0,504.0,504.0,24.1397967338562,0.002616943254485,0.0047860584185336,26.85929999999996
pesm,top2,CORA,4,251564.0,502.0,502.0,40.32181763648987,0.0026116693488399,0.0047860584185336,26.85540000000003
pesm,top2,CORA,6,377346.0,497.0,497.0,41.29114079475403,0.0025973413936868,0.0047860584185336,27.98040000000003
pesm,top2,CORA,1,62891.0,499.0,499.0,34.172325134277344,0.002606032659681,0.0047860584185336,26.92570000000001
pesm,top2,CORA,8,503128.0,501.0,501.0,42.26541590690613,0.0026113605396195,0.0047860584185336,27.125
pesm,top2,CORA,10,628910.0,499.0,499.0,35.16684031486511,0.0026008490881048,0.0047542573659188,27.90230000000008
pesm,top3,ABTBUY,3,3255.0,2197.0,2197.0,5.627996444702148,0.2970371053701948,0.5990783410138248,22.95320000000004
pesm,top3,ABTBUY,8,8680.0,2206.0,2206.0,4.181704759597778,0.2986584370217091,0.6027649769585254,24.5195
pesm,top3,ABTBUY,2,2170.0,2170.0,2170.0,3.5615310668945312,0.2940096411218687,0.6018433179723502,24.128900000000044
pesm,top3,ABTBUY,10,10850.0,2190.0,2190.0,4.647173881530762,0.2958028970631852,0.5990783410138248,24.25400000000002
pesm,top3,ABTBUY,1,1085.0,1085.0,1085.0,3.1269187927246094,0.1625930357885458,0.2940092165898617,23.207
pesm,top3,ABTBUY,7,7595.0,2188.0,2188.0,4.18126654624939,0.294963295741379,0.5944700460829493,24.33979999999997
pesm,top3,ABTBUY,5,5425.0,2196.0,2196.0,4.833430051803589,0.29613318538686,0.6,23.968799999999987
pesm,top3,ABTBUY,9,9765.0,2193.0,2193.0,4.889147996902466,0.2967384866140995,0.6009216589861751,24.18349999999998
pesm,top3,ABTBUY,6,6510.0,2204.0,2204.0,3.601006031036377,0.2966337502743013,0.6027649769585254,24.218799999999987
pesm,top3,ABTBUY,4,4340.0,2193.0,2193.0,4.993958234786987,0.2951598200370492,0.5981566820276498,24.2695
pesm,top3,CDDB,9,27000.0,18460.0,18460.0,20.17450189590454,0.6254020186698286,0.75,100.04289999999992
pesm,top3,CDDB,8,24000.0,18478.0,18478.0,22.334753274917603,0.6254786514420166,0.75,103.30859999999996
pesm,top3,CDDB,2,6000.0,6000.0,6000.0,25.782199144363403,0.4631678053657499,0.4833333333333333,103.62890000000004
pesm,top3,CDDB,3,9000.0,9000.0,9000.0,20.866486072540283,0.5328874569491905,0.71,104.39839999999992
pesm,top3,CDDB,7,21000.0,18475.0,18475.0,25.2074613571167,0.6255260878976525,0.75,101.28909999999996
pesm,top3,CDDB,4,12000.0,12000.0,12000.0,25.40386199951172,0.5771663472488232,0.71,102.52729999999995
pesm,top3,CDDB,1,3000.0,3000.0,3000.0,25.06557488441468,0.4480084416305885,0.4733333333333333,102.88670000000002
pesm,top3,CDDB,6,18000.0,18000.0,18000.0,24.01667618751526,0.6229926115214336,0.72,101.6132
